Address,StateProvinceID,StateProvince,StateProvinceID
BillOfMaterials,ProductAssemblyID,Product,ProductID
BillOfMaterials,ComponentID,Product,ProductID
BillOfMaterials,UnitMeasureCode,UnitMeasure,UnitMeasureCode
BusinessEntityAddress,AddressID,Address,AddressID
BusinessEntityAddress,AddressTypeID,AddressType,AddressTypeID
BusinessEntityAddress,BusinessEntityID,BusinessEntity,BusinessEntityID
BusinessEntityContact,BusinessEntityID,BusinessEntity,BusinessEntityID
BusinessEntityContact,ContactTypeID,ContactType,ContactTypeID
BusinessEntityContact,PersonID,Person,BusinessEntityID
CountryRegionCurrency,CountryRegionCode,CountryRegion,CountryRegionCode
CountryRegionCurrency,CurrencyCode,Currency,CurrencyCode
CurrencyRate,FromCurrencyCode,Currency,CurrencyCode
CurrencyRate,ToCurrencyCode,Currency,CurrencyCode
Customer,PersonID,Person,BusinessEntityID
Customer,TerritoryID,SalesTerritory,TerritoryID
Customer,StoreID,Store,BusinessEntityID
Document,Owner,Employee,BusinessEntityID
EmailAddress,BusinessEntityID,Person,BusinessEntityID
Employee,BusinessEntityID,Person,BusinessEntityID
EmployeeDepartmentHistory,DepartmentID,Department,DepartmentID
EmployeeDepartmentHistory,BusinessEntityID,Employee,BusinessEntityID
EmployeeDepartmentHistory,ShiftID,Shift,ShiftID
EmployeePayHistory,BusinessEntityID,Employee,BusinessEntityID
JobCandidate,BusinessEntityID,Employee,BusinessEntityID
Password,BusinessEntityID,Person,BusinessEntityID
Person,BusinessEntityID,BusinessEntity,BusinessEntityID
PersonCreditCard,CreditCardID,CreditCard,CreditCardID
PersonCreditCard,BusinessEntityID,Person,BusinessEntityID
PersonPhone,BusinessEntityID,Person,BusinessEntityID
PersonPhone,PhoneNumberTypeID,PhoneNumberType,PhoneNumberTypeID
Product,ProductModelID,ProductModel,ProductModelID
Product,ProductSubcategoryID,ProductSubcategory,ProductSubcategoryID
Product,SizeUnitMeasureCode,UnitMeasure,UnitMeasureCode
Product,WeightUnitMeasureCode,UnitMeasure,UnitMeasureCode
ProductCostHistory,ProductID,Product,ProductID
ProductDocument,DocumentNode,Document,DocumentNode
ProductDocument,ProductID,Product,ProductID
ProductInventory,LocationID,Location,LocationID
ProductInventory,ProductID,Product,ProductID
ProductListPriceHistory,ProductID,Product,ProductID
ProductModelIllustration,IllustrationID,Illustration,IllustrationID
ProductModelIllustration,ProductModelID,ProductModel,ProductModelID
ProductModelProductDescriptionCulture,CultureID,Culture,CultureID
ProductModelProductDescriptionCulture,ProductDescriptionID,ProductDescription,ProductDescriptionID
ProductModelProductDescriptionCulture,ProductModelID,ProductModel,ProductModelID
ProductProductPhoto,ProductID,Product,ProductID
ProductProductPhoto,ProductPhotoID,ProductPhoto,ProductPhotoID
ProductReview,ProductID,Product,ProductID
ProductSubcategory,ProductCategoryID,ProductCategory,ProductCategoryID
ProductVendor,ProductID,Product,ProductID
ProductVendor,UnitMeasureCode,UnitMeasure,UnitMeasureCode
ProductVendor,BusinessEntityID,Vendor,BusinessEntityID
PurchaseOrderDetail,ProductID,Product,ProductID
PurchaseOrderDetail,PurchaseOrderID,PurchaseOrderHeader,PurchaseOrderID
PurchaseOrderHeader,EmployeeID,Employee,BusinessEntityID
PurchaseOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
PurchaseOrderHeader,VendorID,Vendor,BusinessEntityID
SalesOrderDetail,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesOrderDetail,ProductID,SpecialOfferProduct,ProductID
SalesOrderDetail,SpecialOfferID,SpecialOfferProduct,SpecialOfferID
SalesOrderHeader,BillToAddressID,Address,AddressID
SalesOrderHeader,ShipToAddressID,Address,AddressID
SalesOrderHeader,CreditCardID,CreditCard,CreditCardID
SalesOrderHeader,CurrencyRateID,CurrencyRate,CurrencyRateID
SalesOrderHeader,CustomerID,Customer,CustomerID
SalesOrderHeader,SalesPersonID,SalesPerson,BusinessEntityID
SalesOrderHeader,TerritoryID,SalesTerritory,TerritoryID
SalesOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
SalesOrderHeaderSalesReason,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesOrderHeaderSalesReason,SalesReasonID,SalesReason,SalesReasonID
SalesPerson,BusinessEntityID,Employee,BusinessEntityID
SalesPerson,TerritoryID,SalesTerritory,TerritoryID
SalesPersonQuotaHistory,BusinessEntityID,SalesPerson,BusinessEntityID
SalesTaxRate,StateProvinceID,StateProvince,StateProvinceID
SalesTerritory,CountryRegionCode,CountryRegion,CountryRegionCode
SalesTerritoryHistory,BusinessEntityID,SalesPerson,BusinessEntityID
SalesTerritoryHistory,TerritoryID,SalesTerritory,TerritoryID
ShoppingCartItem,ProductID,Product,ProductID
SpecialOfferProduct,ProductID,Product,ProductID
SpecialOfferProduct,SpecialOfferID,SpecialOffer,SpecialOfferID
StateProvince,CountryRegionCode,CountryRegion,CountryRegionCode
StateProvince,TerritoryID,SalesTerritory,TerritoryID
Store,BusinessEntityID,BusinessEntity,BusinessEntityID
Store,SalesPersonID,SalesPerson,BusinessEntityID
TransactionHistory,ProductID,Product,ProductID
Vendor,BusinessEntityID,BusinessEntity,BusinessEntityID
WorkOrder,ProductID,Product,ProductID
WorkOrder,ScrapReasonID,ScrapReason,ScrapReasonID
WorkOrderRouting,LocationID,Location,LocationID
WorkOrderRouting,WorkOrderID,WorkOrder,WorkOrderID
