dbo,AWBuildVersion,1
dbo,DatabaseLog,1596
dbo,DimProduct,0
dbo,ErrorLog,0
HumanResources,Department,16
HumanResources,Employee,290
HumanResources,EmployeeDepartmentHistory,296
HumanResources,EmployeePayHistory,316
HumanResources,JobCandidate,13
HumanResources,Shift,3
Person,Address,19614
Person,AddressType,6
Person,BusinessEntity,20777
Person,BusinessEntityAddress,19614
Person,BusinessEntityContact,909
Person,ContactType,20
Person,CountryRegion,238
Person,EmailAddress,19972
Person,Password,19972
Person,Person,19972
Person,PersonPhone,19972
Person,PhoneNumberType,3
Person,StateProvince,181
Production,BillOfMaterials,2679
Production,Culture,8
Production,Document,13
Production,Illustration,5
Production,Location,14
Production,Product,504
Production,ProductCategory,4
Production,ProductCostHistory,395
Production,ProductDescription,762
Production,ProductDocument,32
Production,ProductInventory,1069
Production,ProductListPriceHistory,395
Production,ProductModel,128
Production,ProductModelIllustration,7
Production,ProductModelProductDescriptionCulture,762
Production,ProductPhoto,101
Production,ProductProductPhoto,504
Production,ProductReview,4
Production,ProductSubcategory,37
Production,ScrapReason,16
Production,TransactionHistory,113443
Production,TransactionHistoryArchive,89253
Production,UnitMeasure,38
Production,WorkOrder,72591
Production,WorkOrderRouting,67131
Purchasing,ProductVendor,460
Purchasing,PurchaseOrderDetail,8845
Purchasing,PurchaseOrderHeader,4012
Purchasing,ShipMethod,5
Purchasing,Vendor,104
Sales,CountryRegionCurrency,109
Sales,CreditCard,19118
Sales,Currency,105
Sales,CurrencyRate,13532
Sales,Customer,19820
Sales,PersonCreditCard,19118
Sales,SalesOrderDetail,121317
Sales,SalesOrderHeader,31465
Sales,SalesOrderHeaderSalesReason,27647
Sales,SalesPerson,17
Sales,SalesPersonQuotaHistory,163
Sales,SalesReason,10
Sales,SalesTaxRate,29
Sales,SalesTerritory,10
Sales,SalesTerritoryHistory,17
Sales,ShoppingCartItem,3
Sales,SpecialOffer,16
Sales,SpecialOfferProduct,538
Sales,Store,701
